canonical_model_id,has_unique_tier,has_v5n_addendum_link
v5f_pre2021_repaired_multisleeve_data_gate,True,True
v5f_prebacktest_5min_to_backtest,True,True
v5f_prejq_local_closeout,True,True
v5f_prejq_v5c_v5g_integration,True,True
v5f_progress_checkpoint,True,True
v5f_quality_value_mean_reversion,True,True
v5f_repaired_baseline_overlay_comparison,True,True
v5f_repaired_overlay_forward_paper_tracking,True,True
v5f_short_window_reversion_diagnostic,True,True
v5f_short_window_reversion_nav_engineering,True,True
v5f_short_window_reversion_walk_forward_robustness,True,True
v5f_short_window_spike_reversion_symmetry,True,True
v5f_spike_funded_mr_borrowing_forward_observation,True,True
v5f_spike_funded_mr_borrowing_independent_validation_gate,True,True
v5f_spike_mr_prebacktest_to_backtest_jq_sim,True,True
v5f_spike_mr_signal_quality_filter_spec,True,True
v5f_spike_mr_sleeve_threshold_effectiveness_audit,True,True
v5f_structural_rough_screen,True,True
v5f_v57f_qv_mr_combination,True,True
v5f_value_momentum_reversion_balance_test,True,True
v5g_01_state_gated_internal_subsleeve_limited_engineering,True,True
v5g_01_state_gated_internal_subsleeve_quant_spec,True,True
v5g_02_quality_guarded_momentum_factor_validation,True,True
v5g_03_erc_state_budget_conflict_review,True,True
v5g_04_cash_proxy_policy_data_gate,True,True
v5g_04_exit_policy_spec,True,True
v5g_05_short_window_reversion_independent_validation_gate,True,True
v5g_cross_line_model_research_startup,True,True
v5g_next_queue_execution,True,True
v5g_vs_midterm_model_comparison,True,True
v5h_1min_research_line_governance,True,True
v5h_1min_volume_amount_timing_test,True,True
v5h_buy_execution_backtest,True,True
v5h_buy_execution_queue_123,True,True
v5h_buy_execution_spec_v1,True,True
v5h_buy_execution_spec_v1_forward_observation,True,True
v5h_buy_execution_spec_v1_jq_broker_paper_mapping,True,True
v5h_buy_execution_timing_overlay,True,True
v5h_combined_buy_execution_overlay_v1_observation,True,True
v5h_market_cap_pit_segmentation_gate,True,True
v5h_market_cap_pit_source_repair,True,True
v5h_pre2021_total_market_cap_source_repair,True,True
v5h_quiet_or_active_independent_validation,True,True
v5h_segmented_1min_execution_diagnostic,True,True
v5h_size_liquidity_interaction_independent_validation,True,True
v5i_sell_execution_closeout,True,True
v5i_sell_execution_evaluation,True,True
v5i_sell_execution_provenance,True,True
v5i_technical_exploration_hour_packet,True,True
v5i_technical_sell_execution_quant_spec,True,True
v5j_1min_technical_pattern_diagnostic,True,True
v5j_5day_1min_family_execution_validation,True,True
v5j_5day_1min_sell_formal_backtest,True,True
v5j_bank_2011_2012_regulatory_pdf_repair,True,True
v5j_cross_period_technical_validation_gate,True,True
v5j_family_sell_execution_formal_backtest,True,True
v5j_family_specific_sell_timing_diagnostic,True,True
v5j_frozen_buy_timing_full_pit_validation,True,True
v5j_frozen_sell_timing_full_pit_validation,True,True
v5j_frozen_v5f_exact_target_validation,True,True
v5j_infra_cashflow_parser_failure_diagnostic,True,True
v5j_local_adjust_factor_corporate_action,True,True
v5j_material_action_original_notice_extract,True,True
v5j_material_action_unclassified_notice_fallback,True,True
v5j_material_corporate_action_notice_repair,True,True
v5j_missing_1min_source_repair,True,True
v5j_momentum_cash_neutral_engineering,True,True
v5j_momentum_daily_price_volume_sell,True,True
v5j_momentum_overlay_cash_neutral_execution_spec,True,True
v5j_momentum_overlay_partial_buy_skip,True,True
v5j_overlay_only_sell_formal_backtest,True,True
v5j_overlay_only_sell_validation,True,True
