trade_date,code,side,amount,price,value,commission,target_amount,reason
2026-04-01,600012.XSHG,buy,9200,15.24,140208.0,42.0624,9200,
2026-04-01,600020.XSHG,buy,3400,3.88,13192.0,5.0,36400,
2026-04-01,600023.XSHG,buy,25800,5.47,141126.0,42.337799999999994,25800,
2026-04-01,600033.XSHG,buy,2700,3.78,10206.0,5.0,37300,
2026-04-01,600035.XSHG,buy,300,3.9,1170.0,5.0,36200,
2026-04-01,600350.XSHG,buy,13200,10.65,140580.0,42.174,13200,
2026-04-01,600377.XSHG,buy,200,11.84,2368.0,5.0,11900,
2026-04-01,600642.XSHG,buy,15800,8.93,141094.0,42.328199999999995,15800,
2026-04-01,600886.XSHG,buy,10000,14.01,140100.0,42.029999999999994,10000,
2026-04-01,600908.XSHG,buy,1000,5.7,5700.0,5.0,24700,
2026-04-01,601128.XSHG,buy,19800,7.12,140976.0,42.2928,19800,
