trade_date,next_trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,excess_nav,selected_count,date_security_count,cash_weight,benchmark_source,selected_codes,portfolio_value,cash,invested_value,buy_turnover,sell_turnover,commission,dividend_cash,defensive_state,effective_target_exposure,experiment_layer
2022-05-05,,0.02866592281049396,-0.001501404298547837,0.030167327109041797,0.9905951044,0.7923562373545776,1.2354481903372156,0,91,0.011648658820082852,000300.XSHG,,1981190.2088,23078.208799999906,1958112.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-06,,-0.01833645242069093,-0.02528296523124718,0.006946512810556249,0.9724311044,0.7723231221547799,1.2440302470181719,0,91,0.011866243631850607,000300.XSHG,,1944862.2088,23078.208799999906,1921784.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-09,,0.007428289744451311,-0.00802799821941147,0.01545628796386278,0.9796546044,0.766122913505311,1.2632583367518402,0,91,0.011778747681247518,000300.XSHG,,1959309.2088,23078.208799999906,1936231.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-10,,0.0029510400778145485,0.01094278699348017,-0.00799174691566562,0.9825456043999999,0.7745064333586241,1.2531626958354147,0,91,0.01679220213913152,000300.XSHG,,1965091.2088,32998.208799999906,1932093.0,0.0,0.0,0.0,9920.0,risk_on,0.995,engineering_smoke_test
2022-05-11,,-0.00651572809580625,0.014426498837971646,-0.020942226933777897,0.9761436043999999,0.7856798495194739,1.2269186782742847,0,91,0.016902333146096217,000300.XSHG,,1952287.2088,32998.208799999906,1919289.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-12,,0.006030362718627114,-0.004446210410369189,0.010476573128996303,0.9820301043999999,0.7821865515933231,1.239772581530557,0,91,0.016801016920026668,000300.XSHG,,1964060.2088,32998.208799999906,1931062.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-13,,0.011175319321504062,0.007542804023502381,0.0036325152980016817,0.9930046043999999,0.7880864314618107,1.2442760743990098,0,91,0.016615335243051723,000300.XSHG,,1986009.2088,32998.208799999906,1953011.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-16,,0.004787490389203786,-0.008037908037908048,0.012825398427111834,0.9977586044000001,0.7817518651997976,1.2602344108064998,0,91,0.016536168495306192,000300.XSHG,,1995517.2088,32998.208799999906,1962519.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-17,,-0.0049931917179465435,0.012473019355295323,-0.017466211073241866,0.9927766044000002,0.7915026713454728,1.2382228905855908,0,91,0.016619151102952756,000300.XSHG,,1985553.2088,32998.208799999906,1952555.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-18,,-0.0038009558074553196,-0.0034898611794133005,-0.00031109462804201904,0.9890031044000002,0.7887404368993424,1.237837686096011,0,91,0.016682560779229798,000300.XSHG,,1978006.2088,32998.208799999906,1945008.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-19,,-0.0017355860586922844,0.0019263961361855042,-0.0036619821948777886,0.9872866044000002,0.7902598634294385,1.2333047465293787,0,91,0.01671156513870346,000300.XSHG,,1974573.2088,32998.208799999906,1941575.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-20,,0.029426612161577825,0.019501950195019546,0.00992466196655828,1.0163391044,0.8056714719271624,1.2455448792404347,0,91,0.016233857704156987,000300.XSHG,,2032678.2088,32998.208799999906,1999680.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-23,,0.0029975231562093807,-0.00579262311163431,0.00879014626784369,1.0193856044000003,0.8010045207384927,1.2564934009121218,0,91,0.016185341767417993,000300.XSHG,,2038771.2088,32998.208799999906,2005773.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-24,,-0.023788838978428872,-0.023391827290711875,-0.00039701168771699713,0.9951356044000003,0.7822675613302984,1.2559945583464205,0,91,0.01657975488671999,000300.XSHG,,1990271.2088,32998.208799999906,1957273.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-25,,0.021513148464733955,0.006069484611595843,0.015443663853138112,1.0165441044000003,0.7870155222559433,1.2753917161068933,0,91,0.016230583925070624,000300.XSHG,,2033088.2088,32998.208799999906,2000090.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-26,,0.03150822464206304,0.002475409095245462,0.02903281554681758,1.0485736044000002,0.788963707637835,1.3124199285505638,0,91,0.01573480805807699,000300.XSHG,,2097147.2088,32998.208799999906,2064149.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-27,,0.009121438838309182,0.002068599362891499,0.007052839475417683,1.0581381044000002,0.7905957574607991,1.32167621563097,0,91,0.01559258128158564,000300.XSHG,,2116276.2088,32998.208799999906,2083278.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
2022-05-30,,-0.008956297822176773,0.006927748481743379,-0.015884046303920152,1.0486611044000003,0.7960728060192209,1.3006826494230979,0,91,0.015733495149932206,000300.XSHG,,2097322.2088,32998.208799999906,2064324.0,0.0,0.0,0.0,0.0,risk_on,0.995,engineering_smoke_test
