trade_date,code,target_weight,actual_weight,amount,close
2022-01-04,002040.XSHE,0.03553571428145,0.03534704256391096,11600,6.28
2022-01-04,600035.XSHG,0.03553571428145,0.035889999688732736,22900,3.23
2022-01-04,601018.XSHG,0.03553571428145,0.03548096228370615,18100,4.04
2022-01-04,601880.XSHG,0.03553571428145,0.035899218799878056,41800,1.77
2022-01-04,000755.XSHE,0.03553571428145,0.03565175844808261,15700,4.68
2022-01-04,600377.XSHG,0.03553571428145,0.03562264546551844,8400,8.74
2022-04-01,000421.XSHE,0.03553571428145,0.03523788177983992,14600,5.06
2022-04-01,600681.XSHG,0.03553571428145,0.03490542193360368,14100,5.19
2022-04-01,601006.XSHG,0.03553571428145,0.03478569823000928,10600,6.88
2022-04-01,600795.XSHG,0.03553571428145,0.03528939636146619,28900,2.56
2022-04-01,002267.XSHE,0.03553571428145,0.034968861186902706,11600,6.32
2022-04-01,003816.XSHE,0.03553571428145,0.0350260996109319,26800,2.74
2022-04-01,601077.XSHG,0.03553571428145,0.0354572957386185,18400,4.04
2022-04-01,600886.XSHG,0.03553571428145,0.03489826713060003,7800,9.38
2022-04-01,601985.XSHG,0.03553571428145,0.034681238106156,9100,7.99
2022-04-01,601398.XSHG,0.03553571428145,0.03518541322447982,15400,4.79
2022-04-01,601288.XSHG,0.03553571428145,0.03496504529196742,23800,3.08
2022-04-01,601298.XSHG,0.03553571428145,0.03567909463173163,13100,5.71
2022-04-01,601988.XSHG,0.03553571428145,0.035152024143796125,22400,3.29
2022-04-01,600717.XSHG,0.03553571428145,0.03700082523993912,17200,4.51
2022-04-01,601939.XSHG,0.03553571428145,0.03515870195993286,11700,6.3
2022-04-01,001872.XSHE,0.03553571428145,0.035824575626139166,4700,15.98
2022-04-01,600350.XSHG,0.03553571428145,0.035743487858764474,13600,5.51
2022-04-01,601229.XSHG,0.03553571428145,0.035363806312704145,11000,6.74
2022-04-01,002807.XSHE,0.03553571428145,0.037876096140718886,17300,4.59
2022-04-01,600033.XSHG,0.03553571428145,0.0353184925603477,25100,2.95
2022-04-01,601326.XSHG,0.03553571428145,0.03601441639916932,26400,2.86
2022-04-01,601228.XSHG,0.03553571428145,0.03600487666183113,22600,3.34
2022-04-01,000582.XSHE,0.03553571428145,0.03599342897702529,9800,7.7
2022-04-01,000429.XSHE,0.03553571428145,0.034711288278771325,9200,7.91
2022-04-01,600012.XSHG,0.03553571428145,0.035824575626139166,9400,7.99
2022-07-01,000883.XSHE,0.03553571428145,0.03589366216391582,14700,5.19
2022-07-01,002608.XSHE,0.03553571428145,0.03569183000279593,11600,6.54
2022-07-01,600017.XSHG,0.03553571428145,0.03509433153048296,24700,3.02
2022-07-01,600795.XSHG,0.03553571428145,0.035951530126194946,19200,3.98
2022-07-01,601985.XSHG,0.03553571428145,0.035743111367742476,10900,6.97
2022-07-01,003816.XSHE,0.03553571428145,0.03543589364930124,26900,2.8
2022-07-01,601991.XSHG,0.03553571428145,0.03584755598258773,31100,2.45
2022-07-01,600886.XSHG,0.03553571428145,0.03574169995402835,7100,10.7
2022-07-01,601077.XSHG,0.03553571428145,0.03514608336666755,20300,3.68
2022-07-01,601326.XSHG,0.03553571428145,0.03529098850798439,26600,2.82
2022-07-01,601288.XSHG,0.03553571428145,0.03526134881998777,24900,3.01
2022-07-01,601398.XSHG,0.03553571428145,0.035457535326251156,15800,4.77
2022-07-01,600033.XSHG,0.03553571428145,0.03544718495901424,27200,2.77
2022-07-01,601825.XSHG,0.03553571428145,0.03562408214451792,12000,6.31
2022-07-01,600035.XSHG,0.03553571428145,0.03527593342836706,23000,3.26
2022-07-01,601988.XSHG,0.03553571428145,0.03542930705196866,23100,3.26
2022-07-01,601939.XSHG,0.03553571428145,0.03546976757844024,12400,6.08
2022-07-01,601298.XSHG,0.03553571428145,0.03532109866721907,13700,5.48
2022-07-01,601000.XSHG,0.03553571428145,0.03532203960969515,29100,2.58
2022-07-01,601006.XSHG,0.03553571428145,0.035451889671394655,11400,6.61
2022-07-01,601169.XSHG,0.03553571428145,0.035456594383775075,16600,4.54
2022-07-01,601018.XSHG,0.03553571428145,0.03513855582685888,19200,3.89
2022-07-01,001872.XSHE,0.03553571428145,0.034799816535468854,4800,15.41
2022-07-01,000429.XSHE,0.03553571428145,0.03609690573874984,9300,8.25
2022-07-01,600350.XSHG,0.03553571428145,0.03532062819598102,14300,5.25
2022-07-01,600012.XSHG,0.03553571428145,0.035685713876701386,10100,7.51
2022-07-01,000755.XSHE,0.03553571428145,0.03502093801734846,18200,4.09
2022-10-10,600803.XSHG,0.03553571428145,0.036812719067313544,3900,19.87
2022-10-10,600795.XSHG,0.03553571428145,0.0362744922506557,18400,4.15
2022-10-10,600719.XSHG,0.03553571428145,0.03452157349207897,16900,4.3
2022-10-10,600008.XSHG,0.03553571428145,0.03546026386252548,28600,2.61
2022-10-10,000598.XSHE,0.03553571428145,0.03503699811350329,14900,4.95
2022-10-10,003816.XSHE,0.03553571428145,0.035634130601181056,28200,2.66
2022-10-10,000027.XSHE,0.03553571428145,0.035128681940171394,13300,5.56
2022-10-10,601077.XSHG,0.03553571428145,0.03576904358964604,20800,3.62
2022-10-10,600717.XSHG,0.03553571428145,0.03571108801009418,18700,4.02
2022-10-10,601825.XSHG,0.03553571428145,0.035580925478969516,14000,5.35
2022-10-10,601398.XSHG,0.03553571428145,0.03541750974646263,17100,4.36
2022-10-10,601288.XSHG,0.03553571428145,0.03572058892477482,26200,2.87
2022-10-10,601939.XSHG,0.03553571428145,0.03540040810003749,13500,5.52
2022-10-10,600350.XSHG,0.03553571428145,0.03592485859040842,13700,5.52
2022-10-10,601988.XSHG,0.03553571428145,0.035293047764146344,24200,3.07
2022-10-10,601298.XSHG,0.03553571428145,0.03521038980642484,13600,5.45
2022-10-10,600035.XSHG,0.03553571428145,0.034976667305281275,23300,3.16
2022-10-10,601006.XSHG,0.03553571428145,0.035381881316410256,11100,6.71
2022-10-10,600017.XSHG,0.03553571428145,0.03527214575184895,27000,2.75
2022-10-10,600033.XSHG,0.03553571428145,0.03579469605928375,27500,2.74
2022-10-10,601169.XSHG,0.03553571428145,0.035425110478207136,18100,4.12
2022-10-10,601008.XSHG,0.03553571428145,0.03493296309775036,19200,3.83
2022-10-10,001872.XSHE,0.03553571428145,0.03575954267496541,5100,14.76
2022-10-10,601326.XSHG,0.03553571428145,0.035128681940171394,27800,2.66
2022-10-10,600012.XSHG,0.03553571428145,0.03559280162232031,11100,6.75
2022-10-10,000429.XSHE,0.03553571428145,0.035371905355995596,10200,7.3
2022-10-10,000755.XSHE,0.03553571428145,0.03389783844329543,14300,4.99
2023-01-03,600098.XSHG,0.03553571428145,0.0357680315275843,14000,5.61
2023-01-03,601006.XSHG,0.03553571428145,0.03497197195144199,11600,6.62
2023-01-03,003816.XSHE,0.03553571428145,0.035543968992422965,28800,2.71
2023-01-03,600886.XSHG,0.03553571428145,0.035050302756417094,7100,10.84
2023-01-03,601985.XSHG,0.03553571428145,0.035777595172377774,12900,6.09
2023-01-03,002039.XSHE,0.03553571428145,0.035164155670625086,5100,15.14
2023-01-03,600461.XSHG,0.03553571428145,0.03555125557893228,11200,6.97
2023-01-03,600283.XSHG,0.03553571428145,0.03554806769733446,6300,12.39
2023-01-03,601077.XSHG,0.03553571428145,0.035367269269572156,22000,3.53
2023-01-03,600717.XSHG,0.03553571428145,0.03547656806721183,19000,4.1
