trade_date,strategy_return,benchmark_return,excess_return,strategy_nav,benchmark_nav,excess_nav,portfolio_value,cash,invested_value,cash_weight,selected_count,holding_count,buy_turnover,sell_turnover,commission,dividend_cash,corporate_action_share_value,benchmark_constituent_count,rebalance
2021-08-18,0.012205884077574058,0.019212065636224032,-0.007006181558649974,1.000771474758749,1.0379888623363769,0.962389424603622,2001542.9495175,53699.94951749999,1947843.0,0.026829276649019757,0,28,0.0,0.0,0.0,0.0,0.0,196,0
2021-08-19,0.002303223121497888,-0.010890744149970731,0.01319396727146862,1.003076474758749,1.0266843912061523,0.9750871591742498,2006152.9495175,53699.94951749999,1952453.0,0.026767624836588542,0,28,0.0,0.0,0.0,0.0,0.0,196,0
2021-08-20,-0.0008967411983381579,-0.007485598367807022,0.006588857169468864,1.002176974758749,1.0189990442030865,0.981511869193832,2004353.9495175,53699.94951749999,1950654.0,0.02679165001292659,0,28,0.0,0.0,0.0,0.0,0.0,198,0
2021-08-23,0.016461164460469968,0.01623300603616775,0.0002281584243022175,1.018673974758749,1.0355404618384845,0.9817358093953412,2037347.9495175,53699.94951749999,1983648.0,0.026357770419244104,0,28,0.0,0.0,0.0,0.0,0.0,198,0
2021-08-24,-0.0004800358231551449,0.014324617362084697,-0.014804653185239842,1.018184974758749,1.0503741827172772,0.9672015512177125,2036369.9495175,53699.94951749999,1982670.0,0.02637042916991764,0,28,0.0,0.0,0.0,0.0,0.0,198,0
2021-08-25,0.009647559376259274,0.0066541959077560985,0.0029933634685031752,1.0280079747587492,1.0573635783055273,0.9700967370078071,2056015.9495175,53699.94951749999,2002316.0,0.026118449873942927,0,28,0.0,0.0,0.0,0.0,0.0,198,0
2021-08-26,-1.1673061196648682e-05,-0.002468793419922964,0.0024571203587263153,1.0279959747587493,1.0547531660609404,0.9724803814502428,2055991.9495175,53699.94951749999,2002292.0,0.026118754759765616,0,28,0.0,0.0,0.0,0.0,0.0,198,0
2021-08-27,-0.0008483107146451951,-0.0004722722010229891,-0.00037603851362220605,1.0271239147587492,1.0542550354616689,0.9721146913730755,2054247.8295175,55672.82951749999,1998575.0,0.027101320842371962,0,28,0.0,0.0,0.0,1972.88,0.0,198,0
2021-08-30,0.00011877826837336514,-0.003748074534121197,0.003866852802494562,1.0272459147587492,1.050303609010786,0.9758737157917576,2054491.8295175,55672.82951749999,1998819.0,0.027098102176719204,0,28,0.0,0.0,0.0,0.0,0.0,198,0
2021-08-31,0.009285994583137613,0.004211787373953191,0.005074207209184422,1.0367849147587491,1.054727264490035,0.9808255012356818,2073569.8295175,55672.82951749999,2017897.0,0.026848784509202916,0,28,0.0,0.0,0.0,0.0,0.0,198,0
2021-09-01,0.016060225957159613,0.005379394416664937,0.010680831540494675,1.053435914758749,1.0604010584477368,0.9913015331850014,2106871.8295175,55672.82951749999,2051199.0,0.026424402632147664,0,28,0.0,0.0,0.0,0.0,0.0,198,0
2021-09-02,0.01986072404299155,0.025140328612210078,-0.005279604569218527,1.074357914758749,1.0870598895178483,0.9860678530809245,2148715.8295175,55672.82951749999,2093043.0,0.025909814947470963,0,28,0.0,0.0,0.0,0.0,0.0,198,0
2021-09-03,0.013320514330844357,0.008251507244800246,0.0050690070860441114,1.088668914758749,1.0960297720717365,0.9910662380155121,2177337.8295175,55672.82951749999,2121665.0,0.02556921978884514,0,28,0.0,0.0,0.0,0.0,0.0,198,0
2021-09-06,0.009172210085756749,0.01221624572509281,-0.0030440356393360603,1.098654414758749,1.109419141089382,0.9880493970660501,2197308.8295175,55672.82951749999,2141636.0,0.025336825106066226,0,28,0.0,0.0,0.0,0.0,0.0,198,0
2021-09-07,0.002923121189755795,0.013002744695999546,-0.010079623506243751,1.101865914758749,1.1238446349418223,0.9780902311380533,2203731.8295175,55672.82951749999,2148059.0,0.025262978358709543,0,28,0.0,0.0,0.0,0.0,0.0,198,0
2021-09-08,0.02066812276790153,0.02420059706519163,-0.0035324742972900995,1.124639414758749,1.151042346115927,0.9746351525361275,2249278.8295175,55672.82951749999,2193606.0,0.024751413113794585,0,28,0.0,0.0,0.0,0.0,0.0,198,0
2021-09-09,0.011382759515631946,0.011761833316628396,-0.00037907380099645033,1.137440914758749,1.1645807143313234,0.9742656938842709,2274881.8295175,55672.82951749999,2219209.0,0.024472844608947504,0,28,0.0,0.0,0.0,0.0,0.0,199,0
2021-09-10,-0.014801208380631148,-0.015044205363622339,0.0002429969829911907,1.120605414758749,1.147060522902409,0.9745024375085165,2241210.8295175,55672.82951749999,2185538.0,0.024840514236443137,0,28,0.0,0.0,0.0,0.0,0.0,199,0
2021-09-13,0.019841953025710568,0.012110581996588047,0.007731371029122521,1.142840414758749,1.1609520934200677,0.9820366774216791,2285680.8295175,55672.82951749999,2230008.0,0.024357219432624085,0,28,0.0,0.0,0.0,0.0,0.0,199,0
2021-09-14,-0.02502755383046018,-0.02301248936127258,-0.0020150644691876024,1.114237914758749,1.1342356957212913,0.9800578102055676,2228475.8295175,55672.82951749999,2172803.0,0.024982469533696504,0,28,0.0,0.0,0.0,0.0,0.0,199,0
2021-09-15,0.004347814713385523,0.010784832549496382,-0.006437017836110859,1.119082414758749,1.146468237771307,0.9737491606008546,2238164.8295175,55672.82951749999,2182492.0,0.02487432059662105,0,28,0.0,0.0,0.0,0.0,0.0,199,0
