canonical_model_id,source_evidence_paths,addendum_path,status
v5c_closeout_defense_addendum,v5c_closeout_defense_addendum\current\v5c_defense_addendum_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_closeout_defense_addendum\model_performance_addendum.md,archived_or_superseded
v5c_continuation_decision,v5c_continuation_decision\current\v5c_continuation_decision_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_continuation_decision\model_performance_addendum.md,performance_data_unavailable
v5c_core_infra_cashflow_field_repair,v5c_core_infra_cashflow_field_repair\current\v5c_core_infra_cashflow_field_repair_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_core_infra_cashflow_field_repair\model_performance_addendum.md,performance_data_unavailable
v5c_cross_sector_pre2021_factor_screen,v5c_cross_sector_pre2021_factor_screen\current\v5c_cross_sector_pre2021_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_cross_sector_pre2021_factor_screen\model_performance_addendum.md,performance_data_unavailable
v5c_cycle_sector_data_gate_queue,v5c_cycle_sector_data_gate_queue\current\v5c_cycle_sector_data_gate_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_cycle_sector_data_gate_queue\model_performance_addendum.md,diagnostic_only_no_nav_claim
v5c_defense_overlay_exploration,v5c_defense_overlay_exploration\current\v5c_defense_overlay_exploration_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_defense_overlay_exploration\model_performance_addendum.md,report_complete_validation_not_independent
v5c_defense_overlay_formal_validation,v5c_defense_overlay_formal_validation\current\v5c_defense_fallback_formal_validation_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_defense_overlay_formal_validation\model_performance_addendum.md,report_complete_validation_not_independent
v5c_defense_overlay_pm_quant_review,v5c_defense_overlay_pm_quant_review\current\v5c_defense_fallback_pm_quant_review_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_defense_overlay_pm_quant_review\model_performance_addendum.md,performance_data_unavailable
v5c_erc_formal_validation,v5c_erc_formal_validation\current\v5c_erc_formal_validation_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_erc_formal_validation\model_performance_addendum.md,performance_data_unavailable
v5c_erc_forward_paper_tracking,v5c_erc_forward_paper_tracking\current\v5c_erc_forward_paper_tracking_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_erc_forward_paper_tracking\model_performance_addendum.md,performance_data_unavailable
v5c_erc_pm_quant_review,v5c_erc_pm_quant_review\current\v5c_erc_pm_quant_review_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_erc_pm_quant_review\model_performance_addendum.md,performance_data_unavailable
v5c_final_archive,v5c_final_archive\current\v5c_final_archive_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_final_archive\model_performance_addendum.md,performance_data_unavailable
v5c_financial_statement_expectation_layer,v5c_financial_statement_expectation_layer\current\v5c_financial_expectation_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_financial_statement_expectation_layer\model_performance_addendum.md,performance_data_unavailable
v5c_fixed_rule_risk_budget_spec,v5c_fixed_rule_risk_budget_spec\current\v5c_fixed_rule_risk_budget_spec_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_fixed_rule_risk_budget_spec\model_performance_addendum.md,diagnostic_only_no_nav_claim
v5c_forward_financial_statement_tracking,v5c_forward_financial_statement_tracking\current\v5c_forward_financial_statement_tracking_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_forward_financial_statement_tracking\model_performance_addendum.md,performance_data_unavailable
v5c_highway_capex_fcf_small_original_page_review,v5c_highway_capex_fcf_small_original_page_review\current\v5c_highway_capex_fcf_review_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_highway_capex_fcf_small_original_page_review\model_performance_addendum.md,performance_data_unavailable
v5c_highway_ocf_risk_cap_rule_freeze,v5c_highway_ocf_risk_cap_rule_freeze\current\v5c_highway_ocf_risk_cap_rule_freeze_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_highway_ocf_risk_cap_rule_freeze\model_performance_addendum.md,performance_data_unavailable
v5c_highway_ocf_risk_cap_v1_limited_engineering,v5c_highway_ocf_risk_cap_v1_limited_engineering\current\v5c_highway_ocf_risk_cap_limited_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_highway_ocf_risk_cap_v1_limited_engineering\model_performance_addendum.md,report_complete_validation_not_independent
v5c_industry_knowledge_base_bank_power_p0,v5c_industry_knowledge_base_bank_power_p0\current\v5c_industry_knowledge_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_industry_knowledge_base_bank_power_p0\model_performance_addendum.md,performance_data_unavailable
v5c_infra_capex_original_statement_extraction,v5c_infra_capex_original_statement_extraction\current\v5c_infra_capex_original_statement_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_infra_capex_original_statement_extraction\model_performance_addendum.md,performance_data_unavailable
v5c_infra_ocf_quality_fixed_rule_quant_spec,v5c_infra_ocf_quality_fixed_rule_quant_spec\current\v5c_infra_ocf_quality_fixed_rule_spec_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_infra_ocf_quality_fixed_rule_quant_spec\model_performance_addendum.md,diagnostic_only_no_nav_claim
v5c_key_metric_confidence_tilt_overlay,v5c_key_metric_confidence_tilt_overlay\current\v5c_key_metric_confidence_tilt_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_key_metric_confidence_tilt_overlay\model_performance_addendum.md,report_complete_validation_not_independent
v5c_key_weight_metric_prediction,v5c_key_weight_metric_prediction\current\v5c_key_weight_metric_prediction_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_key_weight_metric_prediction\model_performance_addendum.md,performance_data_unavailable
v5c_low_capital_version_handoff,v5c_low_capital_version_handoff\current\v5c_low_capital_version_handoff_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_low_capital_version_handoff\model_performance_addendum.md,performance_data_unavailable
v5c_overheat_no_new_overweight_limited_engineering,v5c_overheat_no_new_overweight_limited_engineering\current\v5c_overheat_no_new_overweight_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_overheat_no_new_overweight_limited_engineering\model_performance_addendum.md,report_complete_validation_not_independent
v5c_overheat_overlay_pm_quant_spec,v5c_overheat_overlay_pm_quant_spec\current\v5c_overheat_overlay_pm_quant_spec_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_overheat_overlay_pm_quant_spec\model_performance_addendum.md,diagnostic_only_no_nav_claim
v5c_overlay_engineering_comparison,v5c_overlay_engineering_comparison\current\v5c_overlay_engineering_summary.json,v5n_model_performance_reporting\current\model_addenda\v5c_overlay_engineering_comparison\model_performance_addendum.md,report_complete_validation_not_independent
