canonical_model_id,formal_window,comparison_status
v5e_holding_period_exit_pm_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_limited_engineering_loop,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_long_horizon_momentum_diagnostic,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_momentum_addenda_closeout_packet,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_pm_quant_formal_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_post_exit_5min_monitoring_audit_packet,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_post_exit_5min_monitoring_data_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_profit_lock_execution_robust_formal_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_profit_lock_main_20pct_sell50,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_profit_lock_main_forward_paper_execution_tracking,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_profit_lock_model_comparison,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_quant_spec_single_name_exit,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_reasonable_momentum_range_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_short_financing_etf_cash_proxy_selection_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_sleeve_cash_bucket_engineering,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_sleeve_cash_policy_quant_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_sleeve_level_risk_release_limited_engineering,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_sleeve_level_risk_release_pm_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_sleeve_level_risk_release_quant_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_trigger_day_5min_execution_data_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5e_trigger_day_5min_execution_proxy_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_1min_forward_observation_append,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_1min_intraday_relative_zone_timing_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_1min_microstructure_signal_quality_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_1min_queue_123_execution,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_1min_vwap_execution_precision_audit,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_adaptive_momentum_governance,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_backtest_scope_governance_correction,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_clean_forward_target_population,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_deployment_governance_paper_workflow,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_event_triggered_mean_reversion_borrowing_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_extreme_value_reversion,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_forward_continuation_v5g01_closeout,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_forward_paper_tracking_with_v5c_state_tags,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_forward_paper_v5c_state_tags,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_improvement_queue_execution,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_internal_subsleeve_candidate_replacement_packet,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_internal_subsleeve_deep_engineering,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_internal_subsleeve_deep_research_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_internal_subsleeve_deployment_governance,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_internal_subsleeve_forward_paper_tracking,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_internal_subsleeve_pm_quant_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_internal_subsleeve_queue_123_execution,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_internal_subsleeve_robustness_packet,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_joinquant_export_checklist,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_joinquant_now_execution,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_joinquant_platform_attribution,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_joinquant_platform_forward_handoff,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_local_1min_data_package_audit,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_locked_pool_conditional_momentum,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_locked_pool_daily_momentum_governance,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_mean_reversion_diagnostic,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_model_comparison_progress,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_momentum_weight_tilt_backtest_scope,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_momentum_weight_tilt_forward_paper_tracking,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_momentum_weight_tilt_limited_engineering,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_momentum_weight_tilt_pm_quant_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_momentum_weight_tilt_quant_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_needed_model_full_comparison,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_overlay_deployment_governance_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_paper_workflow_artifacts,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_physics_curve_diagnostic_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_physics_curve_full_5min_diagnostic,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_pre2021_5min_blocker_completion,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_pre2021_factor_panel_repair,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_pre2021_multisleeve_mainline_validation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_pre2021_repaired_multisleeve_data_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_prebacktest_5min_to_backtest,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_prejq_local_closeout,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_prejq_v5c_v5g_integration,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_progress_checkpoint,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_quality_value_mean_reversion,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_repaired_baseline_overlay_comparison,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_repaired_overlay_forward_paper_tracking,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_short_window_reversion_diagnostic,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_short_window_reversion_nav_engineering,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_short_window_reversion_walk_forward_robustness,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_short_window_spike_reversion_symmetry,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_spike_funded_mr_borrowing_forward_observation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_spike_funded_mr_borrowing_independent_validation_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_spike_mr_prebacktest_to_backtest_jq_sim,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_spike_mr_signal_quality_filter_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_spike_mr_sleeve_threshold_effectiveness_audit,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_structural_rough_screen,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_v57f_qv_mr_combination,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5f_value_momentum_reversion_balance_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5g_01_state_gated_internal_subsleeve_limited_engineering,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5g_01_state_gated_internal_subsleeve_quant_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5g_02_quality_guarded_momentum_factor_validation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5g_03_erc_state_budget_conflict_review,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5g_04_cash_proxy_policy_data_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5g_04_exit_policy_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5g_05_short_window_reversion_independent_validation_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5g_cross_line_model_research_startup,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5g_next_queue_execution,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5g_vs_midterm_model_comparison,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_1min_research_line_governance,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_1min_volume_amount_timing_test,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_buy_execution_backtest,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_buy_execution_queue_123,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_buy_execution_spec_v1,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_buy_execution_spec_v1_forward_observation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_buy_execution_spec_v1_jq_broker_paper_mapping,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_buy_execution_timing_overlay,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_combined_buy_execution_overlay_v1_observation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_market_cap_pit_segmentation_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_market_cap_pit_source_repair,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_pre2021_total_market_cap_source_repair,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_quiet_or_active_independent_validation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_segmented_1min_execution_diagnostic,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5h_size_liquidity_interaction_independent_validation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5i_sell_execution_closeout,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5i_sell_execution_evaluation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5i_sell_execution_provenance,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5i_technical_exploration_hour_packet,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5i_technical_sell_execution_quant_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_1min_technical_pattern_diagnostic,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_5day_1min_family_execution_validation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_5day_1min_sell_formal_backtest,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_bank_2011_2012_regulatory_pdf_repair,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_cross_period_technical_validation_gate,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_family_sell_execution_formal_backtest,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_family_specific_sell_timing_diagnostic,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_frozen_buy_timing_full_pit_validation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_frozen_sell_timing_full_pit_validation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_frozen_v5f_exact_target_validation,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_infra_cashflow_parser_failure_diagnostic,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_local_adjust_factor_corporate_action,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_material_action_original_notice_extract,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_material_action_unclassified_notice_fallback,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_material_corporate_action_notice_repair,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_missing_1min_source_repair,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_momentum_cash_neutral_engineering,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_momentum_daily_price_volume_sell,2021-05-01_to_2026-05-31,not_ranked_cross_model
v5j_momentum_overlay_cash_neutral_execution_spec,2021-05-01_to_2026-05-31,not_ranked_cross_model
