canonical_model_id,alignment_status,observations
v5e_limited_engineering_loop,daily_nav_unavailable,not_available
v5e_long_horizon_momentum_diagnostic,daily_nav_unavailable,not_available
v5e_momentum_addenda_closeout_packet,daily_nav_unavailable,not_available
v5e_pm_quant_formal_review,daily_nav_unavailable,not_available
v5e_post_exit_5min_monitoring_audit_packet,daily_nav_unavailable,not_available
v5e_post_exit_5min_monitoring_data_gate,daily_nav_unavailable,not_available
v5e_profit_lock_execution_robust_formal_review,daily_nav_unavailable,not_available
v5e_profit_lock_main_20pct_sell50,common_daily_observations_used,1228
v5e_profit_lock_main_forward_paper_execution_tracking,daily_nav_unavailable,not_available
v5e_profit_lock_model_comparison,daily_nav_unavailable,not_available
v5e_quant_spec_single_name_exit,daily_nav_unavailable,not_available
v5e_reasonable_momentum_range_test,daily_nav_unavailable,not_available
v5e_short_financing_etf_cash_proxy_selection_gate,daily_nav_unavailable,not_available
v5e_sleeve_cash_bucket_engineering,daily_nav_unavailable,not_available
v5e_sleeve_cash_policy_quant_spec,daily_nav_unavailable,not_available
v5e_sleeve_level_risk_release_limited_engineering,daily_nav_unavailable,not_available
v5e_sleeve_level_risk_release_pm_spec,daily_nav_unavailable,not_available
v5e_sleeve_level_risk_release_quant_spec,daily_nav_unavailable,not_available
v5e_trigger_day_5min_execution_data_gate,daily_nav_unavailable,not_available
v5e_trigger_day_5min_execution_proxy_test,daily_nav_unavailable,not_available
v5f_1min_forward_observation_append,daily_nav_unavailable,not_available
v5f_1min_intraday_relative_zone_timing_test,daily_nav_unavailable,not_available
v5f_1min_microstructure_signal_quality_gate,daily_nav_unavailable,not_available
v5f_1min_queue_123_execution,daily_nav_unavailable,not_available
v5f_1min_vwap_execution_precision_audit,daily_nav_unavailable,not_available
v5f_adaptive_momentum_governance,daily_nav_unavailable,not_available
v5f_backtest_scope_governance_correction,daily_nav_unavailable,not_available
v5f_clean_forward_target_population,daily_nav_unavailable,not_available
v5f_deployment_governance_paper_workflow,daily_nav_unavailable,not_available
v5f_event_triggered_mean_reversion_borrowing_test,daily_nav_unavailable,not_available
v5f_extreme_value_reversion,daily_nav_unavailable,not_available
v5f_forward_continuation_v5g01_closeout,daily_nav_unavailable,not_available
v5f_forward_paper_tracking_with_v5c_state_tags,daily_nav_unavailable,not_available
v5f_forward_paper_v5c_state_tags,daily_nav_unavailable,not_available
v5f_improvement_queue_execution,daily_nav_unavailable,not_available
v5f_internal_subsleeve_candidate_replacement_packet,daily_nav_unavailable,not_available
v5f_internal_subsleeve_deep_engineering,daily_nav_unavailable,not_available
v5f_internal_subsleeve_deep_research_spec,daily_nav_unavailable,not_available
v5f_internal_subsleeve_deployment_governance,daily_nav_unavailable,not_available
v5f_internal_subsleeve_forward_paper_tracking,daily_nav_unavailable,not_available
v5f_internal_subsleeve_pm_quant_review,daily_nav_unavailable,not_available
v5f_internal_subsleeve_queue_123_execution,daily_nav_unavailable,not_available
v5f_internal_subsleeve_robustness_packet,daily_nav_unavailable,not_available
v5f_joinquant_export_checklist,daily_nav_unavailable,not_available
v5f_joinquant_now_execution,daily_nav_unavailable,not_available
v5f_joinquant_platform_attribution,daily_nav_unavailable,not_available
v5f_joinquant_platform_forward_handoff,daily_nav_unavailable,not_available
v5f_local_1min_data_package_audit,daily_nav_unavailable,not_available
v5f_locked_pool_conditional_momentum,daily_nav_unavailable,not_available
v5f_locked_pool_daily_momentum_governance,daily_nav_unavailable,not_available
v5f_mean_reversion_diagnostic,daily_nav_unavailable,not_available
v5f_model_comparison_progress,daily_nav_unavailable,not_available
v5f_momentum_weight_tilt_backtest_scope,daily_nav_unavailable,not_available
v5f_momentum_weight_tilt_forward_paper_tracking,daily_nav_unavailable,not_available
v5f_momentum_weight_tilt_limited_engineering,daily_nav_unavailable,not_available
v5f_momentum_weight_tilt_pm_quant_review,daily_nav_unavailable,not_available
v5f_momentum_weight_tilt_quant_spec,daily_nav_unavailable,not_available
v5f_needed_model_full_comparison,daily_nav_unavailable,not_available
v5f_overlay_deployment_governance_review,daily_nav_unavailable,not_available
v5f_paper_workflow_artifacts,daily_nav_unavailable,not_available
v5f_physics_curve_diagnostic_spec,daily_nav_unavailable,not_available
v5f_physics_curve_full_5min_diagnostic,daily_nav_unavailable,not_available
v5f_pre2021_5min_blocker_completion,daily_nav_unavailable,not_available
v5f_pre2021_factor_panel_repair,daily_nav_unavailable,not_available
v5f_pre2021_multisleeve_mainline_validation,daily_nav_unavailable,not_available
v5f_pre2021_repaired_multisleeve_data_gate,daily_nav_unavailable,not_available
v5f_prebacktest_5min_to_backtest,daily_nav_unavailable,not_available
v5f_prejq_local_closeout,daily_nav_unavailable,not_available
v5f_prejq_v5c_v5g_integration,daily_nav_unavailable,not_available
v5f_progress_checkpoint,daily_nav_unavailable,not_available
v5f_quality_value_mean_reversion,daily_nav_unavailable,not_available
v5f_repaired_baseline_overlay_comparison,daily_nav_unavailable,not_available
v5f_repaired_overlay_forward_paper_tracking,daily_nav_unavailable,not_available
v5f_short_window_reversion_diagnostic,daily_nav_unavailable,not_available
v5f_short_window_reversion_nav_engineering,daily_nav_unavailable,not_available
v5f_short_window_reversion_walk_forward_robustness,daily_nav_unavailable,not_available
v5f_short_window_spike_reversion_symmetry,daily_nav_unavailable,not_available
v5f_spike_funded_mr_borrowing_forward_observation,daily_nav_unavailable,not_available
v5f_spike_funded_mr_borrowing_independent_validation_gate,daily_nav_unavailable,not_available
v5f_spike_mr_prebacktest_to_backtest_jq_sim,daily_nav_unavailable,not_available
v5f_spike_mr_signal_quality_filter_spec,daily_nav_unavailable,not_available
