trade_date,code,target_weight,actual_weight,amount,close
2023-01-04,601000.XSHG,0.03553571428145,0.03529287892123807,31900,2.75
2023-01-04,600033.XSHG,0.03553571428145,0.03559903886263519,30200,2.93
2023-01-04,600350.XSHG,0.03553571428145,0.03542363053878612,15000,5.87
2023-01-04,000429.XSHE,0.03553571428145,0.0356871453372291,11300,7.85
2023-01-04,600012.XSHG,0.03553571428145,0.0353319032501678,11900,7.38
2023-01-04,000755.XSHE,0.03553571428145,0.03540592878133346,15800,5.57
2023-04-04,600168.XSHG,0.03553571428145,0.03495853333605143,14900,6.09
2023-04-04,600098.XSHG,0.03553571428145,0.03566124065473822,15300,6.05
2023-04-04,600681.XSHG,0.03553571428145,0.0349504429557376,21000,4.32
2023-04-04,600283.XSHG,0.03553571428145,0.03462027838769233,7300,12.31
2023-04-04,601985.XSHG,0.03553571428145,0.036325037096677545,14200,6.64
2023-04-04,601077.XSHG,0.03553571428145,0.035301796615080996,24900,3.68
2023-04-04,600956.XSHG,0.03553571428145,0.034679222587121646,9700,9.28
2023-04-04,600617.XSHG,0.03553571428145,0.034894966062157064,22200,4.08
2023-04-04,601825.XSHG,0.03553571428145,0.03508143006558053,15700,5.8
2023-04-04,601006.XSHG,0.03553571428145,0.03543586577456729,12600,7.3
2023-04-04,600035.XSHG,0.03553571428145,0.035559147760301814,26000,3.55
2023-04-04,600717.XSHG,0.03553571428145,0.03548171126301232,22300,4.13
2023-04-04,600033.XSHG,0.03553571428145,0.03522551588640776,31100,2.94
2023-04-04,601298.XSHG,0.03553571428145,0.03561616567870403,14400,6.42
2023-04-04,600017.XSHG,0.03553571428145,0.0352451639528842,32100,2.85
2023-04-04,601880.XSHG,0.03553571428145,0.03516888322421096,56700,1.61
2023-04-04,600018.XSHG,0.03553571428145,0.03549365420538035,16600,5.55
2023-04-04,601288.XSHG,0.03553571428145,0.03567857718398213,29400,3.15
2023-04-04,601398.XSHG,0.03553571428145,0.03569783999425315,20500,4.52
2023-04-04,601939.XSHG,0.03553571428145,0.03566124065473822,15300,6.05
2023-04-04,601988.XSHG,0.03553571428145,0.03581072006244133,27100,3.43
2023-04-04,601169.XSHG,0.03553571428145,0.03531643635088697,20600,4.45
2023-04-04,001872.XSHE,0.03553571428145,0.03736368782649091,5400,17.96
2023-04-04,600377.XSHG,0.03553571428145,0.03544202987385402,10900,8.44
2023-04-04,000429.XSHE,0.03553571428145,0.035255180614225126,11900,7.69
2023-04-04,600350.XSHG,0.03553571428145,0.03605458724047243,14600,6.41
2023-04-04,600012.XSHG,0.03553571428145,0.040940021181408374,11900,8.93
2023-04-04,000755.XSHE,0.03553571428145,0.034750109728918996,16400,5.5
2023-07-04,000883.XSHE,0.03553571428145,0.035300215260229195,21200,4.56
2023-07-04,601985.XSHG,0.03553571428145,0.03531847298493761,13700,7.06
2023-07-04,601018.XSHG,0.03553571428145,0.03548753951573749,28500,3.41
2023-07-04,002267.XSHE,0.03553571428145,0.03539223419275959,12300,7.88
2023-07-04,600617.XSHG,0.03553571428145,0.03591148388346678,22200,4.43
2023-07-04,600642.XSHG,0.03553571428145,0.03527574990911993,13900,6.95
2023-07-04,000027.XSHE,0.03553571428145,0.03505154504970065,14700,6.53
2023-07-04,601006.XSHG,0.03553571428145,0.035445911903402315,13100,7.41
2023-07-04,000421.XSHE,0.03553571428145,0.03628503693100086,18100,5.49
2023-07-04,601825.XSHG,0.03553571428145,0.03555363247918194,17800,5.47
2023-07-04,600017.XSHG,0.03553571428145,0.035212578181628824,32800,2.94
2023-07-04,000429.XSHE,0.03553571428145,0.03555691886962945,12500,7.79
2023-07-04,600035.XSHG,0.03553571428145,0.034901466552597515,23600,4.05
2023-07-04,601228.XSHG,0.03553571428145,0.03572963694537101,30200,3.24
2023-07-04,601077.XSHG,0.03553571428145,0.03568362747910582,26700,3.66
2023-07-04,600020.XSHG,0.03553571428145,0.035186287058048715,26400,3.65
2023-07-04,002807.XSHE,0.03553571428145,0.03549374714213835,26200,3.71
2023-07-04,601997.XSHG,0.03553571428145,0.03543933912250729,18700,5.19
2023-07-04,601229.XSHG,0.03553571428145,0.035457962001709864,16800,5.78
2023-07-04,600018.XSHG,0.03553571428145,0.035521498883695136,18600,5.23
2023-07-04,600908.XSHG,0.03553571428145,0.035549980934240256,18300,5.32
2023-07-04,603323.XSHG,0.03553571428145,0.035716491383580955,22800,4.29
2023-07-04,601880.XSHG,0.03553571428145,0.0357734554846712,62400,1.57
2023-07-04,000557.XSHE,0.03553571428145,0.03528268784450912,18300,5.28
2023-07-04,600033.XSHG,0.03553571428145,0.035431670878129755,31200,3.11
2023-07-04,600012.XSHG,0.03553571428145,0.03514794583616106,9300,10.35
2023-07-04,600377.XSHG,0.03553571428145,0.035571890203890344,9900,9.84
